书名,评分,作者/出版信息,出版年份,短评总赞,短简介,链接
红楼梦,9.7,[清] 曹雪芹 著 / 人民文学出版社 / 1996-12 / 59.70元,1996.0,29496,都云作者痴，谁解其中味？,https://book.douban.com/subject/1007305/
活着,9.4,余华 / 作家出版社 / 2012-8 / 28.00元,2012.0,49650,生的苦难与伟大,https://book.douban.com/subject/4913064/
哈利·波特,9.7,J.K.罗琳 (J.K.Rowling) / 苏农 / 人民文学出版社 / 2008-12-1 / 498.00元,2008.0,4521,从9¾站台开始的旅程,https://book.douban.com/subject/24531956/
1984,9.4,[英] 乔治·奥威尔 / 刘绍铭 / 北京十月文艺出版社 / 2010-4-1 / 28.00,2010.0,23470,栗树荫下，我出卖你，你出卖我,https://book.douban.com/subject/4820710/
三体全集: 地球往事三部曲,9.5,刘慈欣 / 重庆出版社 / 2012-1 / 168.00元,2012.0,7049,地球往事三部曲,https://book.douban.com/subject/6518605/
百年孤独,9.3,[哥伦比亚] 加西亚·马尔克斯 / 范晔 / 南海出版公司 / 2011-6 / 39.50元,2011.0,59581,魔幻现实主义文学代表作,https://book.douban.com/subject/6082808/
飘,9.3,[美国] 玛格丽特·米切尔 / 李美华 / 译林出版社 / 2000-9 / 40.00元,2000.0,15215,革命时期的爱情，随风而逝,https://book.douban.com/subject/1068920/
动物农场,9.3,[英] 乔治·奥威尔 / 荣如德 / 上海译文出版社 / 2007-3 / 10.00元,2007.0,8291,太阳底下并无新事,https://book.douban.com/subject/2035179/
房思琪的初恋乐园,9.2,林奕含 / 北京联合出版公司 / 2018-2 / 45.00元,2018.0,52198,向死而生的文学绝唱,https://book.douban.com/subject/27614904/
三国演义（全二册）,9.3,[明] 罗贯中 / 人民文学出版社 / 1998-05 / 39.50元,1998.0,4106,是非成败转头空,https://book.douban.com/subject/1019568/
福尔摩斯探案全集（上中下）,9.3,[英] 阿·柯南道尔 / 丁钟华 等 / 群众出版社 / 1981-8 / 53.00元/68.00元,1981.0,2633,名侦探的代名词,https://book.douban.com/subject/1040211/
白夜行,9.2,[日] 东野圭吾 / 刘姿君 / 南海出版公司 / 2013-1-1 / 39.50元,2013.0,55767,一宗离奇命案牵出跨度近20年步步惊心的故事,https://book.douban.com/subject/10554308/
邓小平时代,9.4,【美】傅高义 (Ezra.F.Vogel) / 冯克利 / 生活·读书·新知三联书店 / 2013-1-18 / 88.00元,2013.0,11405,个人命运背后的历史变局,https://book.douban.com/subject/20424526/
小王子,9.1,[法] 圣埃克苏佩里 / 马振骋 / 人民文学出版社 / 2003-8 / 22.00元,2003.0,24069,献给长成了大人的孩子们,https://book.douban.com/subject/1084336/
呐喊,9.2,鲁迅 / 人民文学出版社 / 1973-3 / 0.36元,1973.0,10060,新文学的第一声呐喊,https://book.douban.com/subject/1449351/
安徒生童话故事集,9.3,（丹麦）安徒生 / 叶君健 / 人民文学出版社 / 1997-08 / 25.00元,1997.0,2888,为了争取未来的一代,https://book.douban.com/subject/1046209/
